0000 | 13a6
0a80 | 1605
0a90 | 1604
0aa0 | 4a27
0ab0 | 4b56
0ac0 | 1701
0ad0 | 1702
0ae0 | 16e8
0af0 | 16e8
0b00 | 16e9
0b10 | 16e8
0b20 | 17ff
0b30 | 17fe
0b40 | 17e5
0b50 | 17fe
0b60 | 1701
0b70 | 1701
0b80 | 1702
0b90 | 16e8
0ba0 | 1817
0bb0 | 1817
0bc0 | 4b88
0bd0 | 4bd4
0be0 | 49f4
0bf0 | 49f4
0c00 | 4976
0c10 | 49c2
0c20 | 4bd4
0c30 | 4b6f
0c40 | 1818
0c50 | 17fe
0c60 | 4911
0c70 | 4633
0c80 | 48ab
0c90 | 4814
0ca0 | 15eb
0cb0 | 15ec
0cc0 | 48f7
0cd0 | 45e8
0ce0 | 461a
0cf0 | 45ce
0d00 | 461b
0d10 | 4698
0d20 | 45b5
0d30 | 4569
0d40 | 48c5
0d50 | 48ac
0d60 | 459c
0d70 | 4537
0d80 | 13a6
0d90 | 13a6
0da0 | 47fb
0db0 | 47c8
0dc0 | 15ec
0dd0 | 15d2
0de0 | 13a6
0df0 | 13bf
0e00 | 13bf
0e10 | 13a7
0e20 | 48df
0e30 | 485f
0e40 | 15d2
0e50 | 15d2
0e60 | 4666
0e70 | 461a
0e80 | 4634
0e90 | 45e8
0ea0 | 15d2
0eb0 | 15d2
0ec0 | 15eb
0ed0 | 15ec
0ee0 | 14d5
0ef0 | 14d5
0f00 | 14d5
0f10 | 14d5
0f20 | 1799
0f30 | 1702
0f40 | 4a40
0f50 | 4a59
0f60 | 14bc
0f70 | 14bc
0f80 | 4763
0f90 | 4796
0fa0 | 4976
0fb0 | 49a8
0fc0 | 1701
0fd0 | 16e8
0fe0 | 14d5
0ff0 | 14bc
1000 | 4814
1010 | 4796
1020 | 16e8
1030 | 1701
1040 | 1701
1050 | 16e8
1060 | 1521
1070 | 14bc
1080 | 14d5
1090 | 14bc
10a0 | 4a40
10b0 | 49c2
10c0 | 1701
10d0 | 16e8
10e0 | 14d6
10f0 | 14bc
1100 | 4763
1110 | 477c
1120 | 4a27
1130 | 4a40
1140 | 16e8
1150 | 16e8
1160 | 14bc
1170 | 14bc
1180 | 46e4
1190 | 46e5
11a0 | 1702
11b0 | 1701
11c0 | 1701
11d0 | 16e8
11e0 | 4b23
11f0 | 4a59
1200 | 49db
1210 | 49a8
1220 | 4a0d
1230 | 49f4
1240 | 4a8c
1250 | 4a8b
1260 | 171a
1270 | 171a
1280 | 171a
1290 | 171b
12a0 | 171b
12b0 | 171a
12c0 | 1701
12d0 | 171a
12e0 | 4976
12f0 | 49c2
1300 | 171b
1310 | 171b
1320 | 49f4
1330 | 4a27
1340 | 1701
1350 | 171b
1360 | 171b
1370 | 171b
1380 | 171b
1390 | 171a
13a0 | 1701
13b0 | 171a
13c0 | 1701
13d0 | 1702
13e0 | 1701
13f0 | 1701
1400 | 4a72
1410 | 4a27
1420 | 49a8
1430 | 49f4
1440 | 1702
1450 | 1701
1460 | 1702
1470 | 171b
1480 | 49c2
1490 | 49f4
14a0 | 171b
14b0 | 1702
14c0 | 171a
14d0 | 171a
14e0 | 4879
14f0 | 4a27
1500 | 15d2
1510 | 15d2
1520 | 16e8
1530 | 1701
1540 | 4bee
1550 | 4a40
1560 | 48c5
1570 | 4911
1580 | 4860
1590 | 482d
15a0 | 171b
15b0 | 171b
15c0 | 1702
15d0 | 1701
15e0 | 4879
15f0 | 48c4
1600 | 48f7
1610 | 48de
1620 | 4943
1630 | 498f
1640 | 49db
1650 | 4a0d
1660 | 4846
1670 | 48ac
1680 | 4814
1690 | 4813
16a0 | 171b
16b0 | 1702
16c0 | 1702
16d0 | 1702
16e0 | 482d
16f0 | 47e2
1700 | 1604
1710 | 1605
1720 | 171a
1730 | 171b
1740 | 498f
1750 | 49a8
1760 | 49c1
1770 | 492a
1780 | 48ac
1790 | 4846
17a0 | 49c1
17b0 | 49db
17c0 | 171b
17d0 | 1701
17e0 | 16e8
17f0 | 1702
1800 | 16e8
1810 | 16e8
1820 | 4c07
1830 | 4c9f
1840 | 17fe
1850 | 17fe
1860 | 4aa5
1870 | 49db
1880 | 16e8
1890 | 16e8
18a0 | 4b89
18b0 | 4bed
18c0 | 1818
18d0 | 1817
18e0 | 4b23
18f0 | 49f4
1900 | 16e9
1910 | 1701
1920 | 4b55
1930 | 4ba1
1940 | 1817
1950 | 17fe
1960 | 15eb
1970 | 13a6
1980 | 48f8
1990 | 4975
19a0 | 47e1
19b0 | 47fb
19c0 | 15ec
19d0 | 13a6
19e0 | 13bf
19f0 | 13a6
1a00 | 13a6
1a10 | 13a6
1a20 | 13bf
1a30 | 13a6
1a40 | 15d2
1a50 | 169d
1a60 | 13c0
1a70 | 13a6
1a80 | 464d
1a90 | 461a
1aa0 | 15d2
1ab0 | 15d2
1ac0 | 15d2
1ad0 | 15ec
1ae0 | 47af
1af0 | 467f
1b00 | 13a6
1b10 | 13a6
1b20 | 15d2
1b30 | 15d3
1b40 | 15b9
1b50 | 15d2
1b60 | 45cf
1b70 | 459c
1b80 | 461b
1b90 | 464d
1ba0 | 15d2
1bb0 | 15d3
1bc0 | 4846
1bd0 | 482d
1be0 | 14d6
1bf0 | 14bc
1c00 | 47e1
1c10 | 47c8
1c20 | 1701
1c30 | 1702
1c40 | 171b
1c50 | 1702
1c60 | 46fe
1c70 | 4731
1c80 | 14bc
1c90 | 14d5
1ca0 | 16e8
1cb0 | 16e9
1cc0 | 4a40
1cd0 | 4a40
1ce0 | 47c8
1cf0 | 4731
1d00 | 14bd
1d10 | 14bc
1d20 | 4a73
1d30 | 4a40
1d40 | 492a
1d50 | 495d
1d60 | 14d5
1d70 | 14bc
1d80 | 4796
1d90 | 47e1
1da0 | 4a26
1db0 | 4b3c
1dc0 | 16e8
1dd0 | 1701
1de0 | 14d5
1df0 | 14bc
1e00 | 46fe
1e10 | 4717
1e20 | 4a40
1e30 | 4b0a
1e40 | 498f
1e50 | 492a
1e60 | 14d5
1e70 | 14d5
1e80 | 4717
1e90 | 4795
1ea0 | 4a59
1eb0 | 4ad8
1ec0 | 16e9
1ed0 | 16e8
1ee0 | 1701
1ef0 | 171b
1f00 | 171b
1f10 | 171a
1f20 | 1701
1f30 | 1701
1f40 | 49c2
1f50 | 4a0e
1f60 | 171a
1f70 | 1702
1f80 | 4a59
1f90 | 4aa5
1fa0 | 49f4
1fb0 | 4a0d
1fc0 | 49f5
1fd0 | 498f
1fe0 | 171b
1ff0 | 171b
2000 | 49db
2010 | 49db
2020 | 171b
2030 | 1702
2040 | 171b
2050 | 1702
2060 | 1702
2070 | 1701
2080 | 49f4
2090 | 49f4
20a0 | 4b23
20b0 | 4abe
20c0 | 4a59
20d0 | 49c2
20e0 | 1701
20f0 | 16e8
2100 | 1702
2110 | 16e8
2120 | 1702
2130 | 1701
2140 | 1701
2150 | 1702
2160 | 4a72
2170 | 4a59
2180 | 1702
2190 | 1701
21a0 | 171b
21b0 | 1701
21c0 | 1701
21d0 | 171a
21e0 | 15ec
21f0 | 15d2
2200 | 4847
2210 | 4814
2220 | 16e8
2230 | 1702
2240 | 16e8
2250 | 16e9
2260 | 4846
2270 | 4892
2280 | 15eb
2290 | 15ec
22a0 | 1701
22b0 | 1701
22c0 | 16e8
22d0 | 1701
22e0 | 15eb
22f0 | 15eb
2300 | 15d2
2310 | 15eb
2320 | 495d
2330 | 4976
2340 | 171a
2350 | 1701
2360 | 15eb
2370 | 15ec
2380 | 15eb
2390 | 15eb
23a0 | 171b
23b0 | 171b
23c0 | 1701
23d0 | 171b
23e0 | 48c5
23f0 | 48ab
2400 | 49c2
2410 | 48c4
2420 | 171b
2430 | 1701
2440 | 4b24
2450 | 4a40
2460 | 1604
2470 | 1605
2480 | 15eb
2490 | 15eb
24a0 | 171b
24b0 | 171b
24c0 | 1701
24d0 | 1701
24e0 | 4a0d
24f0 | 4a0d
2500 | 16e8
2510 | 16e8
2520 | 17fe
2530 | 17fe
2540 | 17ff
2550 | 17fe
2560 | 16e8
2570 | 1701
2580 | 1702
2590 | 16cf
25a0 | 1817
25b0 | 1818
25c0 | 4b6f
25d0 | 4bed
25e0 | 49a8
25f0 | 49db
2600 | 4a0e
2610 | 4a72
2620 | 17fe
2630 | 17fe
2640 | 4b56
2650 | 4b6f
2660 | 13d9
2670 | 15d2
2680 | 4847
2690 | 4814
26a0 | 15d2
26b0 | 15ec
26c0 | 459c
26d0 | 4583
26e0 | 4569
26f0 | 459c
2700 | 4699
2710 | 4601
2720 | 13a6
2730 | 15eb
2740 | 1605
2750 | 13bf
2760 | 459c
2770 | 45e7
2780 | 4633
2790 | 48ab
27a0 | 15d2
27b0 | 15ec
27c0 | 48de
27d0 | 4634
27e0 | 45b6
27f0 | 4569
2800 | 13a6
2810 | 15d2
2820 | 15ec
2830 | 15d3
2840 | 15d2
2850 | 13a6
2860 | 459c
2870 | 4569
2880 | 13a6
2890 | 15eb
28a0 | 48ac
28b0 | 48de
28c0 | 15d2
28d0 | 14d5
28e0 | 14d5
28f0 | 14d6
2900 | 4892
2910 | 4a0d
2920 | 1702
2930 | 171b
2940 | 4a5a
2950 | 47ae
2960 | 14bc
2970 | 14a3
2980 | 4730
2990 | 49a8
29a0 | 16e8
29b0 | 16e8
29c0 | 16e9
29d0 | 14d5
29e0 | 14d5
29f0 | 14d5
2a00 | 4846
2a10 | 49f4
2a20 | 16e8
2a30 | 1702
2a40 | 4a0d
2a50 | 47ae
2a60 | 14bc
2a70 | 14bc
2a80 | 14bc
2a90 | 1780
2aa0 | 49a8
2ab0 | 49da
2ac0 | 4911
2ad0 | 4699
2ae0 | 14bc
2af0 | 14d5
2b00 | 47af
2b10 | 4a26
2b20 | 492a
2b30 | 495d
2b40 | 49a8
2b50 | 4718
2b60 | 14d5
2b70 | 14d5
2b80 | 14bc
2b90 | 16e8
2ba0 | 1702
2bb0 | 16e8
2bc0 | 16e8
2bd0 | 171a
2be0 | 171a
2bf0 | 1701
2c00 | 49c1
2c10 | 4a40
2c20 | 49f4
2c30 | 4a73
2c40 | 4ad7
2c50 | 4a0d
2c60 | 171b
2c70 | 171b
2c80 | 1701
2c90 | 1701
2ca0 | 1701
2cb0 | 1701
2cc0 | 4a40
2cd0 | 4aa5
2ce0 | 171a
2cf0 | 171b
2d00 | 171a
2d10 | 171b
2d20 | 1702
2d30 | 1701
2d40 | 1701
2d50 | 1702
2d60 | 1702
2d70 | 1701
2d80 | 49f4
2d90 | 49f4
2da0 | 4a8b
2db0 | 4a59
2dc0 | 49db
2dd0 | 4943
2de0 | 49c2
2df0 | 49c1
2e00 | 16e8
2e10 | 1702
2e20 | 1702
2e30 | 1701
2e40 | 16e8
2e50 | 1702
2e60 | 4ad7
2e70 | 4a59
2e80 | 1701
2e90 | 1701
2ea0 | 4a73
2eb0 | 49f4
2ec0 | 49c1
2ed0 | 482d
2ee0 | 15d2
2ef0 | 15d2
2f00 | 4879
2f10 | 49f4
2f20 | 16e8
2f30 | 16e9
2f40 | 4a40
2f50 | 48ab
2f60 | 4879
2f70 | 47c8
2f80 | 47fa
2f90 | 49a9
2fa0 | 1701
2fb0 | 1702
2fc0 | 1701
2fd0 | 15ec
2fe0 | 15ec
2ff0 | 15eb
3000 | 15eb
3010 | 16e8
3020 | 4a0d
3030 | 4aa5
3040 | 1702
3050 | 1605
3060 | 1604
3070 | 1605
3080 | 1605
3090 | 171b
30a0 | 4a59
30b0 | 4ba2
30c0 | 171a
30d0 | 161d
30e0 | 1605
30f0 | 15ec
3100 | 48ab
3110 | 4a0d
3120 | 1702
3130 | 171b
3140 | 1702
3150 | 15ec
3160 | 47fb
3170 | 48c5
3180 | 48de
3190 | 4bd4
31a0 | 4a0d
31b0 | 49f4
31c0 | 1701
31d0 | 16e8
31e0 | 4a59
31f0 | 4ad7
3200 | 16e8
3210 | 17fe
3220 | 17fe
3230 | 17fe
3240 | 1818
3250 | 16e8
3260 | 4a59
3270 | 4a8c
3280 | 4976
3290 | 4b6f
32a0 | 17fe
32b0 | 17fe
32c0 | 4b24
32d0 | 495c
32e0 | 16e8
32f0 | 1702
3300 | 16e8
3310 | 17fe
3320 | 17fe
3330 | 17fe
3340 | 17e5
3350 | 15d2
3360 | 4601
3370 | 4976
3380 | 4975
3390 | 48ab
33a0 | 4aa5
33b0 | 4893
33c0 | 13bf
33d0 | 13c0
33e0 | 4550
33f0 | 4569
3400 | 138d
3410 | 13a6
3420 | 4601
3430 | 492a
3440 | 47fb
3450 | 4582
3460 | 138d
3470 | 13a6
3480 | 13a6
3490 | 15d2
34a0 | 15d3
34b0 | 15d2
34c0 | 15d3
34d0 | 13a6
34e0 | 138c
34f0 | 13a6
3500 | 13a6
3510 | 15d2
3520 | 492a
3530 | 49c2
3540 | 4847
3550 | 45e8
3560 | 13a6
3570 | 13a6
3580 | 456a
3590 | 4814
35a0 | 15ec
35b0 | 15d2
35c0 | 4860
35d0 | 477c
35e0 | 46e4
35f0 | 47ae
3600 | 14d5
3610 | 171b
3620 | 49c1
3630 | 49a9
3640 | 49db
3650 | 46b2
3660 | 47e1
3670 | 47e2
3680 | 47c8
3690 | 4a72
36a0 | 1702
36b0 | 1702
36c0 | 1702
36d0 | 14bc
36e0 | 4860
36f0 | 4879
3700 | 14bc
3710 | 16e8
3720 | 49da
3730 | 4a27
3740 | 1701
3750 | 14d5
3760 | 4749
3770 | 4795
3780 | 4699
3790 | 4975
37a0 | 1702
37b0 | 1702
37c0 | 16e8
37d0 | 14d5
37e0 | 4893
37f0 | 4763
3800 | 4763
3810 | 4a40
3820 | 16e8
3830 | 16cf
3840 | 1702
3850 | 14bc
3860 | 474a
3870 | 474a
3880 | 4763
3890 | 4976
38a0 | 492a
38b0 | 49a9
38c0 | 49a8
38d0 | 49c2
38e0 | 171b
38f0 | 171b
3900 | 171b
3910 | 1734
3920 | 49c2
3930 | 49c1
3940 | 171b
3950 | 1701
3960 | 1702
3970 | 171b
3980 | 171b
3990 | 171a
39a0 | 4a59
39b0 | 4a40
39c0 | 49a8
39d0 | 49c1
39e0 | 171b
39f0 | 171a
3a00 | 171b
3a10 | 171b
3a20 | 4a73
3a30 | 4a40
3a40 | 49c1
3a50 | 498f
3a60 | 1701
3a70 | 1701
3a80 | 171a
3a90 | 1701
3aa0 | 4a40
3ab0 | 4a26
3ac0 | 171b
3ad0 | 1701
3ae0 | 1702
3af0 | 16e8
3b00 | 4a40
3b10 | 4a8c
3b20 | 1702
3b30 | 16e8
3b40 | 49a8
3b50 | 4911
3b60 | 1701
3b70 | 1701
3b80 | 1701
3b90 | 1701
3ba0 | 171b
3bb0 | 171a
3bc0 | 171a
3bd0 | 15eb
3be0 | 15eb
3bf0 | 15d2
3c00 | 15d2
3c10 | 16e8
3c20 | 49f4
3c30 | 49db
3c40 | 16e8
3c50 | 1605
3c60 | 15eb
3c70 | 1604
3c80 | 47fb
3c90 | 49c2
3ca0 | 4ad8
3cb0 | 4a8c
3cc0 | 4a59
3cd0 | 4879
3ce0 | 15eb
3cf0 | 15ec
3d00 | 482e
3d10 | 4976
3d20 | 16e8
3d30 | 1701
3d40 | 1702
3d50 | 1604
3d60 | 1605
3d70 | 1605
3d80 | 482e
3d90 | 492a
3da0 | 171b
3db0 | 1734
3dc0 | 49f4
3dd0 | 48de
3de0 | 48c5
3df0 | 4911
3e00 | 4943
3e10 | 4a59
3e20 | 1702
3e30 | 171a
3e40 | 171b
3e50 | 15ec
3e60 | 15ec
3e70 | 1604
3e80 | 4910
3e90 | 4b3c
3ea0 | 4b3d
3eb0 | 4aa5
3ec0 | 171b
3ed0 | 1701
3ee0 | 1702
3ef0 | 16e9
3f00 | 16e8
3f10 | 1818
3f20 | 17fe
3f30 | 17fe
3f40 | 4b89
3f50 | 4a8c
3f60 | 16e8
3f70 | 1702
3f80 | 16e9
3f90 | 17fe
3fa0 | 4bed
3fb0 | 4b88
3fc0 | 4ad7
3fd0 | 49a8
3fe0 | 49db
3ff0 | 495d
4000 | 4a40
4010 | 4b56
4020 | 17e5
4030 | 17ff
4040 | 17fe
4050 | 15d2
4060 | 4583
4070 | 48ab
4080 | 15eb
4090 | 15d2
40a0 | 47fb
40b0 | 4814
40c0 | 4550
40d0 | 4537
40e0 | 13a6
40f0 | 13bf
4100 | 459c
4110 | 459c
4120 | 13a6
4130 | 15d2
4140 | 48df
4150 | 461b
4160 | 13a6
4170 | 13a6
4180 | 45cf
4190 | 4878
41a0 | 498f
41b0 | 492a
41c0 | 49c2
41d0 | 459c
41e0 | 4583
41f0 | 45e8
4200 | 4583
4210 | 48f7
4220 | 482d
4230 | 482d
4240 | 15ec
4250 | 13bf
4260 | 4569
4270 | 4582
4280 | 4583
4290 | 482e
42a0 | 4847
42b0 | 4814
42c0 | 482d
42d0 | 46e4
42e0 | 4717
42f0 | 4717
4300 | 14d5
4310 | 171a
4320 | 4975
4330 | 495d
4340 | 498f
4350 | 4762
4360 | 467f
4370 | 464d
4380 | 46fe
4390 | 495d
43a0 | 495c
43b0 | 495d
43c0 | 48f8
43d0 | 4666
43e0 | 4699
43f0 | 46cc
4400 | 4814
4410 | 4a73
4420 | 16e8
4430 | 16e8
4440 | 16e8
4450 | 14d6
4460 | 46fe
4470 | 4717
4480 | 4749
4490 | 49f4
44a0 | 4a59
44b0 | 4a0d
44c0 | 4a40
44d0 | 4795
44e0 | 464d
44f0 | 46b2
4500 | 14d6
4510 | 1701
4520 | 4943
4530 | 492a
4540 | 1702
4550 | 14d5
4560 | 14bc
4570 | 14bc
4580 | 46cb
4590 | 4975
45a0 | 4910
45b0 | 4943
45c0 | 1702
45d0 | 1701
45e0 | 4a8c
45f0 | 4a27
4600 | 1701
4610 | 171b
4620 | 171b
4630 | 1702
4640 | 4a5a
4650 | 49f5
4660 | 49f4
4670 | 4a26
4680 | 171b
4690 | 171b
46a0 | 4a27
46b0 | 4a72
46c0 | 171b
46d0 | 1702
46e0 | 49da
46f0 | 4a0e
4700 | 4abe
4710 | 4a72
4720 | 1701
4730 | 1701
4740 | 1702
4750 | 171b
4760 | 495c
4770 | 49c1
4780 | 49da
4790 | 49db
47a0 | 49c1
47b0 | 49a8
47c0 | 4976
47d0 | 4976
47e0 | 4a27
47f0 | 49c2
4800 | 4943
4810 | 4944
4820 | 4a27
4830 | 4a8c
4840 | 4a40
4850 | 495c
4860 | 1702
4870 | 1734
4880 | 4b24
4890 | 4b3d
48a0 | 171b
48b0 | 1734
48c0 | 4975
48d0 | 47c8
48e0 | 15d2
48f0 | 15d2
4900 | 4814
4910 | 4efd
4920 | 16e8
4930 | 1780
4940 | 1702
4950 | 15d3
4960 | 15eb
4970 | 15eb
4980 | 15eb
4990 | 1702
49a0 | 1701
49b0 | 16e8
49c0 | 1702
49d0 | 15d2
49e0 | 4846
49f0 | 48de
4a00 | 15d2
4a10 | 16e8
4a20 | 4a0d
4a30 | 49a9
4a40 | 4a0d
4a50 | 49db
4a60 | 4943
4a70 | 492a
4a80 | 48ab
4a90 | 4a27
4aa0 | 495c
4ab0 | 4a27
4ac0 | 1702
4ad0 | 1604
4ae0 | 4943
4af0 | 498f
4b00 | 1605
4b10 | 171b
4b20 | 49db
4b30 | 4a27
4b40 | 1701
4b50 | 1605
4b60 | 4892
4b70 | 4976
4b80 | 48c5
4b90 | 49db
4ba0 | 498f
4bb0 | 49c2
4bc0 | 1701
4bd0 | 16e8
4be0 | 498f
4bf0 | 49c1
4c00 | 4a40
4c10 | 4b70
4c20 | 4b0b
4c30 | 4aa5
4c40 | 17fe
4c50 | 16e9
4c60 | 498f
4c70 | 49a8
4c80 | 495c
4c90 | 4af1
4ca0 | 4a59
4cb0 | 4a40
4cc0 | 4a73
4cd0 | 4910
4ce0 | 16e8
4cf0 | 16e8
4d00 | 4943
4d10 | 4b3d
4d20 | 4b3d
4d30 | 4b6f
4d40 | 4a73
4d50 | 47af
4d60 | 4569
4d70 | 48de
4d80 | 47c8
4d90 | 477c
4da0 | 47e1
4db0 | 4892
4dc0 | 45ce
4dd0 | 4583
4de0 | 461a
4df0 | 4537
4e00 | 13c0
4e10 | 13bf
4e20 | 13a6
4e30 | 15eb
4e40 | 15d2
4e50 | 13bf
4e60 | 13a6
4e70 | 13a6
4e80 | 13a6
4e90 | 15eb
4ea0 | 47c8
4eb0 | 47c8
4ec0 | 15d2
4ed0 | 13a6
4ee0 | 13bf
4ef0 | 138d
4f00 | 13a7
4f10 | 15eb
4f20 | 47af
4f30 | 4847
4f40 | 47af
4f50 | 4537
4f60 | 461a
4f70 | 4666
4f80 | 13c0
4f90 | 15d2
4fa0 | 4813
4fb0 | 477c
4fc0 | 48c5
4fd0 | 47c7
4fe0 | 4666
4ff0 | 46b2
5000 | 14ef
5010 | 1702
5020 | 1701
5030 | 1701
5040 | 1701
5050 | 14d5
5060 | 14d6
5070 | 14bc
5080 | 14bc
5090 | 16e8
50a0 | 16cf
50b0 | 16e8
50c0 | 1701
50d0 | 14bc
50e0 | 14a2
50f0 | 14d6
5100 | 14d6
5110 | 1702
5120 | 16e8
5130 | 16e8
5140 | 4a8c
5150 | 477c
5160 | 14bc
5170 | 14bc
5180 | 4749
5190 | 49f4
51a0 | 4b6f
51b0 | 4a8b
51c0 | 1702
51d0 | 14bc
51e0 | 14bc
51f0 | 14d6
5200 | 14d6
5210 | 16e8
5220 | 4a27
5230 | 4a26
5240 | 16e8
5250 | 14bd
5260 | 14bd
5270 | 14bc
5280 | 46b2
5290 | 4a27
52a0 | 498f
52b0 | 49f4
52c0 | 16e9
52d0 | 171a
52e0 | 49a9
52f0 | 495d
5300 | 171b
5310 | 171b
5320 | 4a72
5330 | 4aa5
5340 | 49db
5350 | 495c
5360 | 4b23
5370 | 4a40
5380 | 49f4
5390 | 49db
53a0 | 171b
53b0 | 171b
53c0 | 49c1
53d0 | 4a0e
53e0 | 4a27
53f0 | 4a59
5400 | 171a
5410 | 171b
5420 | 171b
5430 | 171b
5440 | 49a8
5450 | 492a
5460 | 498f
5470 | 49a8
5480 | 1701
5490 | 171b
54a0 | 1702
54b0 | 1799
54c0 | 1701
54d0 | 1701
54e0 | 4b3c
54f0 | 4a73
5500 | 4abe
5510 | 4a59
5520 | 49db
5530 | 4a0d
5540 | 1702
5550 | 171a
5560 | 1701
5570 | 1701
5580 | 4a8c
5590 | 4a40
55a0 | 4a0d
55b0 | 4a40
55c0 | 49da
55d0 | 4814
55e0 | 4846
55f0 | 482d
5600 | 482d
5610 | 49c2
5620 | 16e8
5630 | 16e8
5640 | 4943
5650 | 4814
5660 | 4929
5670 | 495d
5680 | 1605
5690 | 1701
56a0 | 4a40
56b0 | 49c1
56c0 | 1701
56d0 | 15eb
56e0 | 15eb
56f0 | 15eb
5700 | 48de
5710 | 49db
5720 | 1702
5730 | 1702
5740 | 16e8
5750 | 161e
5760 | 1605
5770 | 1605
5780 | 15eb
5790 | 1701
57a0 | 171a
57b0 | 171b
57c0 | 4a0e
57d0 | 4892
57e0 | 15eb
57f0 | 15eb
5800 | 1605
5810 | 1702
5820 | 4a26
5830 | 49c2
5840 | 4a59
5850 | 48c5
5860 | 4911
5870 | 48de
5880 | 15eb
5890 | 171a
58a0 | 4a27
58b0 | 4a59
58c0 | 171b
58d0 | 16e8
58e0 | 16e8
58f0 | 16e8
5900 | 4943
5910 | 4abf
5920 | 17fe
5930 | 17fe
5940 | 4c53
5950 | 4a8c
5960 | 4af1
5970 | 4a0e
5980 | 4a0d
5990 | 4b6f
59a0 | 17e5
59b0 | 17fe
59c0 | 17fe
59d0 | 16e8
59e0 | 4a40
59f0 | 4a40
5a00 | 4a0d
5a10 | 4b0b
5a20 | 4aa5
5a30 | 4ad8
5a40 | 17fe
5a50 | 15d2
5a60 | 13a6
5a70 | 15ec
5a80 | 15ec
5a90 | 15eb
5aa0 | 15d2
5ab0 | 1605
5ac0 | 451e
5ad0 | 4583
5ae0 | 13a6
5af0 | 13a6
5b00 | 13bf
5b10 | 13c0
5b20 | 464d
5b30 | 47fb
5b40 | 15d2
5b50 | 13a6
5b60 | 13a6
5b70 | 13a6
5b80 | 44b9
5b90 | 47c8
5ba0 | 48f8
5bb0 | 4944
5bc0 | 485f
5bd0 | 4582
5be0 | 4583
5bf0 | 4537
5c00 | 467f
5c10 | 48ab
5c20 | 15d2
5c30 | 15d2
5c40 | 15d2
5c50 | 13a6
5c60 | 459b
5c70 | 4583
5c80 | 4505
5c90 | 47af
5ca0 | 15d2
5cb0 | 15eb
5cc0 | 48f7
5cd0 | 4796
5ce0 | 15b9
5cf0 | 14d6
5d00 | 46cb
5d10 | 4a0d
5d20 | 4976
5d30 | 4943
5d40 | 4a5a
5d50 | 4763
5d60 | 46fe
5d70 | 46b2
5d80 | 47e1
5d90 | 4af1
5da0 | 16e8
5db0 | 16e8
